DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q35	2	218277768		PNKD, TMBIM1			ENSG00000127838, ENSG00000135926			rs2271543-?	rs2271543	0	2271543	intron_variant	0	NR	3E-8	7.522878745280337				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q35	2	218835276		PRKAG3 - RPL23AP31	ENSG00000115592	ENSG00000232625		3190	6323	rs78058190-?	rs78058190	0	78058190	intergenic_variant	1	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2q36.3	2	226243730		AC062015.1 - MIR5702	ENSG00000235070	ENSG00000263363		58359	414980	rs2943652-?	rs2943652	0	2943652	intergenic_variant	1	NR	5E-14	13.301029995663981				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p25.3	3	11467491		ATG7			ENSG00000197548			rs6781726-?	rs6781726	0	6781726	intron_variant	0	NR	1E-10	10.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p25.1	3	14865227		FGD5			ENSG00000154783			rs2131570-?	rs2131570	0	2131570	intron_variant	0	NR	5E-9	8.301029995663981				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p23.3	2	25018517		DNAJC27-AS1			ENSG00000224165			rs188315257-?	rs188315257	0	188315257	intron_variant	0	NR	3E-9	8.522878745280337				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p23.3	2	26691496		AC015977.1 - KCNK3	ENSG00000225024	ENSG00000171303		12986	1194	rs1275988-?	rs1275988	0	1275988	intergenic_variant	1	NR	1E-37	37.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p23.3	2	27519736		GCKR			ENSG00000084734			rs780093-?	rs780093	0	780093	intron_variant	0	NR	7E-14	13.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p23.2	2	28424836		FOSL2 - AC104695.3	ENSG00000075426	ENSG00000270640		7519	1109	rs67385572-?	rs67385572	0	67385572	intergenic_variant	1	NR	3E-8	7.522878745280337				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p21	2	42969554		AC098824.1 - AC016735.1	ENSG00000232202	ENSG00000224739		141937	31801	rs115262049-?	rs115262049	0	115262049	regulatory_region_variant	1	NR	6E-12	11.221848749616356				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p21	2	43505819		THADA			ENSG00000115970			rs3764769-?	rs3764769	0	3764769	intron_variant	0	NR	4E-11	10.397940008672037				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p21	2	43845437		ABCG8			ENSG00000143921			rs4299376-?	rs4299376	0	4299376	intron_variant	0	NR	2E-19	18.69897000433602				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p21	2	45651621		PRKCE			ENSG00000171132			rs687914-?	rs687914	0	687914	5_prime_UTR_variant	0	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p16.1	2	58606358		LINC01122			ENSG00000233723			rs6731302-?	rs6731302	0	6731302	intron_variant	0	NR	8E-8	7.096910013008056				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	2p15	2	61435420		USP34			ENSG00000115464			rs1186699-?	rs1186699	0	1186699	intron_variant	0	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4p14	4	38357696		AC098680.1 - LINC02513	ENSG00000251642	ENSG00000248227		70205	9218	rs6819003-?	rs6819003	0	6819003	intergenic_variant	1	NR	6E-10	9.221848749616356				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q21.21	4	80253438		PRDM8 - FGF5	ENSG00000152784	ENSG00000138675		49109	13161	rs13125101-?	rs13125101	0	13125101	regulatory_region_variant	1	NR	1E-80	80.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q21.22	4	82913620		THAP9, LIN54			ENSG00000168152, ENSG00000189308			rs35895091-?	rs35895091	0	35895091	intron_variant	0	NR	1E-7	7.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q22.3	4	95165950		UNC5C			ENSG00000182168			rs7694531-?	rs7694531	0	7694531	3_prime_UTR_variant	0	NR	1E-7	7.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q23	4	99318162		ADH1B			ENSG00000196616			rs1229984-?	rs1229984	0	1229984	missense_variant	0	NR	8E-15	14.096910013008056				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q24	4	102000547		AP002075.1, BANK1			ENSG00000251309, ENSG00000153064			rs13127398-?	rs13127398	0	13127398	intron_variant	0	NR	7E-16	15.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q24	4	102974066		SLC9B1			ENSG00000164037			rs7681002-?	rs7681002	0	7681002	intron_variant	0	NR	2E-13	12.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q24	4	105989801		NPNT			ENSG00000168743			rs56388530-?	rs56388530	0	56388530	intron_variant	0	NR	3E-17	16.522878745280337				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q25	4	110467945		ENPEP			ENSG00000138792			rs7685862-?	rs7685862	0	7685862	intron_variant	0	NR	7E-13	12.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	4q28.3	4	137518476		RPS23P2 - PCDH18	ENSG00000213448	ENSG00000189184		69975	442	rs9330353-?	rs9330353	0	9330353	intergenic_variant	1	NR	7E-9	8.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p24.1	3	27521497		RNU1-96P - AC137675.1	ENSG00000201033	ENSG00000232167		7465	3856	rs2643826-?	rs2643826	0	2643826	regulatory_region_variant	1	NR	1E-18	18.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p21.31	3	48132720		AC124916.1 - CDC25A	ENSG00000236768	ENSG00000164045		11505	24426	rs6800730-?	rs6800730	0	6800730	intergenic_variant	1	NR	1E-15	15.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p21.1	3	53523985		CACNA1D			ENSG00000157388			rs3821843-?	rs3821843	0	3821843	intron_variant	0	NR	7E-13	12.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p21.1	3	53700504		CACNA1D			ENSG00000157388			rs6445597-?	rs6445597	0	6445597	intron_variant	0	NR	2E-10	9.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3p21.1	3	53815978		CHDH			ENSG00000016391			rs11130381-?	rs11130381	0	11130381	3_prime_UTR_variant	0	NR	2E-13	12.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3q21.3	3	128075405		RUVBL1			ENSG00000175792			rs11709060-?	rs11709060	0	11709060	intron_variant	0	NR	7E-10	9.154901959985743				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3q22.2	3	134274473		RYK - LINC02004	ENSG00000163785	ENSG00000240006		23729	39103	rs4682671-?	rs4682671	0	4682671	intergenic_variant	1	NR	4E-9	8.397940008672037				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3q22.3	3	136206349		AC092991.1 - PCCB	ENSG00000244740	ENSG00000114054		434	43957	rs1154988-?	rs1154988	0	1154988	intergenic_variant	1	NR	1E-18	18.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3q22.3	3	138403280		MRAS			ENSG00000158186			rs9818870-?	rs9818870	0	9818870	3_prime_UTR_variant	0	NR	2E-10	9.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	3q25.1	3	150379848		LINC01214 - TSC22D2	ENSG00000243550	ENSG00000196428		92475	28487	rs9844972-?	rs9844972	0	9844972	regulatory_region_variant	1	NR	2E-13	12.698970004336019				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	5q13.1	5	68747416		AC010280.1 - AC093523.1	ENSG00000248359	ENSG00000249335		213886	85169	rs9291932-?	rs9291932	0	9291932	intergenic_variant	1	NR	1E-8	8.0				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Cardiovascular disease	approximately 459,000 European ancestry individuals	NA	5q13.3	5	75360714		COL4A3BP, HMGCR			ENSG00000113163, ENSG00000113161			rs12916-?	rs12916	0	12916	3_prime_UTR_variant	0	NR	5E-9	8.301029995663981				NR [~ 8900000] (imputed)	N	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	GCST007072	Genome-wide genotyping array
